,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Tuktoyaktuk,75,CA,1571536227,85,-133.03,-133.03,23.0,12.75
1,Sao Filipe,79,CV,1571536227,85,-24.5,-24.5,78.56,18.54
2,Pangnirtung,89,CA,1571536052,54,-65.72,-65.72,13.9,2.04
3,Vaini,75,IN,1571535942,100,74.49,74.49,68.0,3.62
4,Stokmarknes,97,NO,1571536228,78,14.91,14.91,32.0,7.0
5,Ushuaia,40,AR,1571536229,46,-68.31,-68.31,53.6,19.46
6,Miyang,25,CN,1571536229,77,103.44,103.44,66.86,6.06
7,Thompson,90,CA,1571536229,75,-97.86,-97.86,41.0,8.05
8,Khatanga,94,RU,1571536230,87,102.47,102.47,1.3,10.0
9,Kapaa,20,US,1571536051,74,-159.32,-159.32,84.2,11.41
10,Sorland,35,NO,1571536230,57,12.69,12.69,38.83,5.17
11,Iquique,90,CL,1571536230,72,-70.14,-70.14,62.6,12.75
12,Maniitsoq,0,GL,1571536231,61,-52.9,-52.9,34.78,7.52
13,Mataura,100,NZ,1571536050,91,168.86,168.86,50.0,8.01
14,Lavrentiya,28,RU,1571536231,90,-170.99,-170.99,20.53,2.51
15,Cidreira,100,BR,1571536232,82,-50.22,-50.22,56.11,4.54
16,Ribeira Grande,17,PT,1571536232,64,-28.7,-28.7,63.76,11.18
17,Christchurch,74,NZ,1571536232,59,172.64,172.64,66.2,9.17
18,Vila Franca do Campo,75,PT,1571536233,67,-25.43,-25.43,62.6,6.93
19,Vestmannaeyjar,76,IS,1571536233,72,-20.27,-20.27,44.45,12.08
20,Port Elizabeth,1,US,1571536233,87,-74.98,-74.98,55.99,4.25
21,Yellowknife,75,CA,1571536234,80,-114.38,-114.38,30.2,8.05
22,Punta Arenas,0,CL,1571536234,53,-70.91,-70.91,51.8,11.41
23,Kruisfontein,100,ZA,1571536234,93,24.73,24.73,61.69,7.07
24,Butaritari,74,KI,1571536235,72,172.79,172.79,84.62,9.91
25,Baykit,99,RU,1571536235,78,96.39,96.39,18.26,4.43
26,Rikitea,54,PF,1571536235,73,-134.97,-134.97,69.11,18.05
27,Yuzhnyy,1,RU,1571536236,92,39.45,39.45,48.32,6.73
28,Hervey Bay,0,AU,1571536236,19,152.85,152.85,90.0,10.29
29,Kaitangata,100,NZ,1571536236,63,169.85,169.85,57.0,10.0
30,Lufilufi,40,WS,1571536237,70,-171.6,-171.6,89.6,14.99
31,Moindou,0,NC,1571536237,38,165.68,165.68,87.8,12.75
32,Hermanus,0,ZA,1571536237,94,19.24,19.24,61.0,8.3
33,Manuk Mangkaw,1,PH,1571536237,65,119.85,119.85,84.52,3.53
34,Albany,20,US,1571536238,81,-73.75,-73.75,43.0,1.97
35,Tasiilaq,100,GL,1571536238,64,-37.64,-37.64,32.0,2.24
36,Ponta do Sol,67,BR,1571536238,83,-46.0,-46.0,67.97,2.06
