koi_disposition,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period_err1,koi_period_err2,koi_time0bk_err1,koi_time0bk_err2,koi_impact_err1,koi_duration_err1,koi_duration_err2,koi_depth,koi_teq,koi_model_snr,koi_slogg,koi_slogg_err2,ra,dec,koi_kepmag
1,0,0,0,0,0.0002479,-0.0002479,0.00352,-0.00352,0.059000000000000004,0.11599999999999999,-0.11599999999999999,874.8,443,25.8,4.467,-0.096,291.93422999999996,48.141651,15.347000000000001
2,0,1,0,0,1.49e-05,-1.49e-05,0.0005809999999999999,-0.0005809999999999999,5.126,0.0341,-0.0341,10829.0,638,76.3,4.544,-0.17600000000000002,297.00482,48.134128999999994,15.436
2,0,1,0,0,2.63e-07,-2.63e-07,0.00011499999999999999,-0.00011499999999999999,0.115,0.005370000000000001,-0.005370000000000001,8079.2,1395,505.6,4.564,-0.168,285.53461,48.28521,15.597000000000001
1,0,0,0,0,3.76e-06,-3.76e-06,0.0011300000000000001,-0.0011300000000000001,0.235,0.042,-0.042,603.3,1406,40.9,4.438,-0.21,288.75487999999996,48.2262,15.509
1,0,0,0,0,1.05e-05,-1.05e-05,0.0019,-0.0019,0.139,0.0673,-0.0673,686.0,1160,40.2,4.486000000000001,-0.22899999999999998,296.28612999999996,48.22467,15.714
1,0,0,0,0,1.7800000000000002e-05,-1.7800000000000002e-05,0.00461,-0.00461,0.212,0.165,-0.165,226.5,1360,15.0,4.486000000000001,-0.22899999999999998,296.28612999999996,48.22467,15.714
1,0,0,0,0,1.09e-05,-1.09e-05,0.000517,-0.000517,0.262,0.0241,-0.0241,4914.3,600,161.9,4.485,-0.027999999999999997,286.99948,48.37579,15.841
1,0,0,0,0,2.7e-08,-2.7e-08,8.7e-06,-8.7e-06,0.001,0.00107,-0.00107,14231.0,1339,4304.3,4.457,-0.024,286.80847,49.316399,11.338
1,0,1,0,0,4.3e-08,-4.3e-08,1.6e-05,-1.6e-05,0.159,0.00203,-0.00203,6674.7,2048,5945.9,4.019,-0.027000000000000003,292.24728,47.969521,10.463
1,0,0,0,0,1.98e-07,-1.98e-07,4.71e-05,-4.71e-05,0.006999999999999999,0.006529999999999999,-0.006529999999999999,9145.7,1521,1741.5,4.169,-0.045,281.28812,42.45108,13.562999999999999
1,0,0,0,0,6.54e-06,-6.54e-06,0.00143,-0.00143,0.395,0.0427,-0.0427,131.1,1206,50.6,4.407,-0.114,295.64871,48.49556,12.772
2,0,1,0,0,1.98e-06,-1.98e-06,0.000131,-0.000131,2.8510000000000004,0.0114,-0.0114,17984.0,753,622.1,4.553999999999999,-0.17600000000000002,297.07993,47.597401,15.472000000000001
2,0,1,0,0,1.12e-06,-1.12e-06,4.5e-05,-4.5e-05,0.031,0.00235,-0.00235,74284.0,698,2317.0,4.496,-0.20800000000000002,295.81453999999997,47.69035,15.341
2,0,1,0,0,1.36e-05,-1.36e-05,0.0006230000000000001,-0.0006230000000000001,0.11800000000000001,0.06,-0.06,10479.0,595,303.4,4.5169999999999995,-0.07200000000000001,297.15442,47.668701,15.788
1,0,0,0,0,1.04e-05,-1.04e-05,0.000877,-0.000877,0.004,0.0309,-0.0309,1288.3,649,87.2,4.583,-0.035,288.13824,47.724449,15.302
1,0,0,0,0,5.51e-06,-5.51e-06,0.000713,-0.000713,0.196,0.0311,-0.0311,1912.7,678,65.4,4.648,-0.055999999999999994,283.71088,47.86327,15.784
2,0,1,1,1,7.53e-06,-7.53e-06,0.00234,-0.00234,0.36,0.0686,-0.0686,397.9,1066,48.2,4.504,-0.06,283.76547,47.804297999999996,15.269
1,0,0,0,0,1.09e-05,-1.09e-05,0.00233,-0.00233,0.243,0.0737,-0.0737,363.3,1018,28.9,4.44,-0.045,292.37613,47.880989,15.415999999999999
2,0,1,0,0,0.0001369,-0.0001369,0.000299,-0.000299,0.0497,0.0184,-0.0184,24927.0,297,994.0,4.081,-0.013999999999999999,292.27374,37.671558000000005,12.394
1,0,0,0,0,7.01e-05,-7.01e-05,0.0025800000000000003,-0.0025800000000000003,0.01,0.0656,-0.0656,857.2,530,34.3,4.5,-0.02,290.46512,47.92918,15.377
1,0,0,0,0,1.39e-05,-1.39e-05,0.0021899999999999997,-0.0021899999999999997,0.006,0.0762,-0.0762,934.7,917,28.2,4.552,-0.136,297.80826,47.946671,15.860999999999999
1,0,0,0,0,6.14e-06,-6.14e-06,0.00115,-0.00115,0.11199999999999999,0.042,-0.042,750.8,1012,61.8,4.564,-0.168,294.26581,49.314091,15.356
2,0,0,1,0,4.7e-07,-4.7e-07,0.000246,-0.000246,0.042,0.0483,-0.0483,2211.7,1452,181.1,4.563,-0.16,295.66522000000003,49.351009000000005,15.525
2,1,0,0,0,0.0012369999999999998,-0.0012369999999999998,0.00157,-0.00157,0.004,0.131,-0.131,18091.0,196,642.7,4.466,-0.12,296.69861000000003,49.316479,15.207
2,0,1,0,0,0.000156,-0.000156,0.00209,-0.00209,6.912000000000001,0.105,-0.105,5123.3,505,85.3,4.402,-0.217,283.72592000000003,49.479519,15.25
1,0,0,0,0,9.350000000000001e-05,-9.350000000000001e-05,0.0017100000000000001,-0.0017100000000000001,0.337,0.0633,-0.0633,2213.9,439,51.2,4.485,-0.027999999999999997,286.99948,48.37579,15.841
