omdb_id,omdb_title,omdb_year,omdb_rated,omdb_released,omdb_runtime,omdb_director,omdb_actors,omdb_language,omdb_country,omdb_ratings,omdb_metascore,omdb_imdbRating,omdb_imdbVotes
tt7286456,Joker,2019,R,04 Oct 2019,122 min,Todd Phillips,"Joaquin Phoenix, Robert De Niro, Zazie Beetz, Frances Conroy",English,"USA, Canada","[{'Source': 'Internet Movie Database', 'Value': '8.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '68%'}, {'Source': 'Metacritic', 'Value': '59/100'}]",59,8.9,"360,218"
tt4777008,Maleficent: Mistress of Evil,2019,PG,18 Oct 2019,118 min,Joachim Rønning,"Angelina Jolie, Elle Fanning, Imelda Staunton, Michelle Pfeiffer",English,USA,"[{'Source': 'Rotten Tomatoes', 'Value': '51%'}]",N/A,N/A,N/A
tt6105098,The Lion King,2019,PG,19 Jul 2019,118 min,Jon Favreau,"Chiwetel Ejiofor, John Oliver, James Earl Jones, John Kani",English,USA,"[{'Source': 'Internet Movie Database', 'Value': '7.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '53%'}, {'Source': 'Metacritic', 'Value': '55/100'}]",55,7.1,"102,621"
tt6450804,Terminator: Dark Fate,2019,N/A,01 Nov 2019,N/A,Tim Miller,"Linda Hamilton, Arnold Schwarzenegger, Mackenzie Davis, Edward Furlong",English,"China, USA",[],N/A,N/A,N/A
tt6320628,Spider-Man: Far from Home,2019,PG-13,02 Jul 2019,129 min,Jon Watts,"Tom Holland, Samuel L. Jackson, Jake Gyllenhaal, Marisa Tomei","Italian, Czech, English",USA,"[{'Source': 'Internet Movie Database', 'Value': '7.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '90%'}, {'Source': 'Metacritic', 'Value': '69/100'}]",69,7.7,"187,214"
tt9243946,El Camino: A Breaking Bad Movie,2019,TV-MA,11 Oct 2019,122 min,Vince Gilligan,"Aaron Paul, Jonathan Banks, Matt Jones, Charles Baker",English,USA,"[{'Source': 'Internet Movie Database', 'Value': '7.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '95%'}, {'Source': 'Metacritic', 'Value': '72/100'}]",72,7.7,"81,896"
tt1979376,Toy Story 4,2019,G,21 Jun 2019,100 min,Josh Cooley,"Tom Hanks, Tim Allen, Annie Potts, Tony Hale",English,USA,"[{'Source': 'Internet Movie Database', 'Value': '8.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '97%'}, {'Source': 'Metacritic', 'Value': '84/100'}]",84,8.1,"96,147"
tt1560220,Zombieland: Double Tap,2019,R,18 Oct 2019,93 min,Ruben Fleischer,"Zoey Deutch, Emma Stone, Abigail Breslin, Bill Murray",English,USA,[],N/A,N/A,N/A
tt2076298,Ip Man 4: The Finale,2019,N/A,20 Dec 2019,N/A,Wilson Yip,"Scott Adkins, Donnie Yen, Kwok-Kwan Chan, Jim Liu",Cantonese,Hong Kong,[],N/A,N/A,N/A
tt2911666,John Wick,2014,R,24 Oct 2014,101 min,"Chad Stahelski, David Leitch","Keanu Reeves, Michael Nyqvist, Alfie Allen, Willem Dafoe","English, Russian, Hungarian",USA,"[{'Source': 'Internet Movie Database', 'Value': '7.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '87%'}, {'Source': 'Metacritic', 'Value': '68/100'}]",68,7.4,"479,777"
