,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Yellowknife,75,CA,1571534907,80,62.45,-114.38,30.2,8.05
1,Katsuura,75,JP,1571534891,64,33.93,134.5,71.6,14.99
2,Cidreira,100,BR,1571535406,82,-30.17,-50.22,56.11,4.54
3,Thompson,90,CA,1571535406,75,55.74,-97.86,41.0,8.05
4,Ucluelet,20,CA,1571535406,87,48.94,-125.55,52.0,9.17
5,Koungheul,89,SN,1571535407,71,13.98,-14.8,82.63,10.67
6,Lamar,1,US,1571535407,21,38.09,-102.62,59.0,14.99
7,Ferrol,20,ES,1571535407,100,43.48,-8.23,57.99,2.24
8,Ribeira Grande,23,PT,1571534913,66,38.52,-28.7,63.76,15.88
9,East London,3,ZA,1571535408,96,-33.02,27.91,62.09,9.33
10,Nanortalik,100,GL,1571535408,80,60.14,-45.24,41.46,7.78
11,Mataura,100,NZ,1571535408,91,-46.19,168.86,50.0,10.0
12,Aksay,80,KZ,1571535409,72,51.17,53.01,41.93,12.41
13,Hualmay,85,PE,1571535409,89,-11.1,-77.61,61.82,17.6
14,Albany,20,US,1571534891,81,42.65,-73.75,44.01,1.79
15,Kaitangata,100,NZ,1571535409,97,-46.28,169.85,48.7,3.36
16,Lugo,100,ES,1571535410,100,43.01,-7.56,51.01,3.0
17,Mar del Plata,0,AR,1571534903,22,-46.43,-67.52,67.79,6.96
18,Cape Town,0,ZA,1571535411,87,-33.93,18.42,62.01,3.36
19,Punta Arenas,0,CL,1571535411,53,-53.16,-70.91,51.8,11.41
20,Tigil,53,RU,1571535411,83,57.8,158.67,32.46,5.28
21,Ushuaia,40,AR,1571534890,46,-54.81,-68.31,53.6,19.46
22,Lavrentiya,28,RU,1571535412,90,65.58,-170.99,20.53,2.51
23,Brae,100,GB,1571535412,70,60.4,-1.35,46.4,20.8
24,Hithadhoo,99,MV,1571535413,79,-0.6,73.08,81.8,15.57
25,Victoria,75,BN,1571534927,79,5.28,115.24,84.2,2.24
26,Saint-Philippe,1,CA,1571534930,80,45.36,-73.48,42.8,2.24
27,Dingle,91,PH,1571535413,74,11.0,122.67,85.38,9.89
28,Cherskiy,91,RU,1571534930,94,68.75,161.3,7.55,8.03
29,Puerto Ayora,75,EC,1571534909,73,-0.74,-90.35,71.6,18.34
30,Kosa,75,JP,1571535414,72,32.67,130.82,68.0,1.12
31,Sao Gabriel da Cachoeira,100,BR,1571535415,97,-0.13,-67.09,74.49,2.19
32,Faanui,32,PF,1571535412,79,-16.48,-151.75,80.65,12.19
33,Atuona,0,PF,1571535411,71,-9.8,-139.03,79.93,17.83
34,Rikitea,43,PF,1571534892,75,-23.12,-134.97,68.71,18.52
35,Sao Filipe,79,CV,1571535416,85,14.9,-24.5,78.56,18.54
36,Sibolga,100,ID,1571534909,85,1.74,98.78,80.21,14.61
37,Shenjiamen,5,CN,1571535416,63,29.96,122.3,68.64,10.38
38,Skalat,78,UA,1571535417,70,49.42,25.98,54.0,1.01
39,Panama City,90,US,1571535417,83,30.16,-85.65,69.8,12.75
40,Vaitape,32,PF,1571535417,79,-16.52,-151.75,80.65,12.19
41,Esperance,45,AU,1571534917,43,-33.86,121.89,71.6,21.92
42,Vestmannaeyjar,76,IS,1571535418,72,63.44,-20.27,44.45,12.08
43,Mutis,100,CO,1571535418,88,6.23,-77.4,74.58,4.54
44,Kodiak,1,US,1571535039,87,39.95,-94.76,55.4,3.36
45,Qaanaaq,0,GL,1571535419,48,77.48,-69.36,0.87,6.31
46,Ikom,100,NG,1571535419,99,5.96,8.72,71.56,0.34
47,Hermanus,50,ZA,1571534890,93,-34.42,19.24,61.0,2.86
48,Khatanga,79,RU,1571534890,90,71.98,102.47,-1.06,8.79
49,Giyani,0,ZA,1571535420,33,-23.32,30.73,69.94,2.62
50,Tasiilaq,100,GL,1571534916,58,65.61,-37.64,32.0,2.24
51,Te Anau,89,NZ,1571535420,82,-45.41,167.72,45.4,6.31
52,Barrow,0,AR,1571534904,84,-38.31,-60.23,54.47,10.74
53,El Tigre,100,VE,1571535421,80,8.89,-64.25,76.56,10.94
54,New Norfolk,75,AU,1571535421,48,-42.78,147.06,60.8,20.8
55,Sestri Levante,75,IT,1571535422,77,44.27,9.41,68.0,27.51
56,Aklavik,75,CA,1571535422,85,68.22,-135.01,21.2,5.82
57,Bluff,0,AU,1571534923,10,-23.58,149.07,85.4,15.68
58,Hokitika,48,NZ,1571535423,82,-42.72,170.96,56.22,10.02
59,Busselton,0,AU,1571534930,75,-33.64,115.35,71.01,7.0
60,Avarua,28,CK,1571535423,83,-21.21,-159.78,75.2,9.17
61,Bereda,20,ES,1571535423,100,43.27,-7.54,51.01,2.24
62,Hobart,75,AU,1571535424,48,-42.88,147.33,60.8,20.8
63,Novikovo,75,RU,1571535424,83,51.15,37.89,48.93,3.94
64,Bredasdorp,64,ZA,1571534905,82,-34.53,20.04,59.0,4.7
65,Upernavik,100,GL,1571535424,76,72.79,-56.15,27.55,11.1
66,Polunochnoye,5,RU,1571535425,72,60.87,60.43,19.84,4.7
67,Camden,1,US,1571535425,93,39.94,-75.12,54.0,2.8
68,Tiksi,80,RU,1571535426,95,71.64,128.87,7.62,4.85
69,Chifeng,19,CN,1571535426,20,42.27,118.96,50.86,19.35
70,Fairbanks,75,US,1571535426,64,64.84,-147.72,35.6,2.91
71,Vaini,75,IN,1571534910,100,15.34,74.49,68.0,2.01
72,Edson,20,CA,1571535427,59,53.59,-116.44,37.4,4.7
73,Cururupu,100,BR,1571535427,94,-1.82,-44.87,74.04,2.75
74,Babu,99,CN,1571535427,83,23.23,104.89,64.73,5.64
75,Hasaki,75,JP,1571535428,83,35.73,140.83,70.0,8.05
76,Wagar,25,US,1571535428,98,31.44,-87.99,61.01,2.75
77,Wasilla,1,US,1571535428,81,61.58,-149.44,43.0,3.36
78,Rocha,100,UY,1571535429,94,-34.48,-54.34,43.06,3.42
79,Kudahuvadhoo,17,MV,1571535429,79,2.67,72.89,81.8,11.65
80,Omboue,100,GA,1571535429,83,-1.57,9.26,77.77,4.45
81,Port Alfred,100,ZA,1571535430,95,-33.59,26.89,66.0,1.99
82,Dukat,0,AL,1571535430,90,40.25,19.57,63.0,3.24
83,Saskylakh,0,RU,1571535430,91,71.97,114.09,-4.44,3.31
84,Cartagena,28,ES,1571535431,83,37.63,-1.0,69.8,9.17
85,Altenburg,99,DE,1571535431,87,50.99,12.43,57.99,4.7
86,Zalesovo,0,RU,1571535431,65,54.0,84.74,26.52,9.82
87,Jamestown,0,AU,1571534891,43,-33.21,138.6,59.55,6.22
88,Saldanha,94,PT,1571535432,82,41.42,-6.55,47.09,14.56
89,Kahului,40,US,1571535432,58,20.89,-156.47,86.0,14.99
90,Longyearbyen,75,NO,1571535432,62,78.22,15.63,19.4,6.93
91,Khorixas,0,NA,1571535433,54,-20.37,14.96,72.04,2.24
92,Jizan,20,SA,1571535433,70,16.89,42.56,84.2,3.36
93,Ostrovnoy,100,RU,1571535433,73,68.05,39.51,32.12,19.89
94,Tazmalt,0,DZ,1571535433,41,36.39,4.4,78.8,14.99
95,Butaritari,74,KI,1571535039,72,3.07,172.79,84.62,9.91
96,Mersing,100,MY,1571535434,58,2.43,103.84,89.57,2.19
97,Bahia de Caraquez,90,EC,1571535434,78,-0.6,-80.42,73.4,9.17
98,Aksu,75,KZ,1571535435,79,52.04,76.93,23.0,13.42
99,Sancraieni,1,RO,1571535435,84,46.31,25.84,44.01,2.42
100,Anajatuba,10,BR,1571535436,89,-3.26,-44.62,76.69,4.21
